entry_id,self_accession,parent_accession
1,JGAD000001,JGAP000001
4,JGAD000002,JGAP000001
6,JGAD000004,JGAP000001
7,JGAD000005,JGAP000001
8,JGAD000006,JGAP000001
9,JGAD000007,JGAP000001
10,JGAD000008,JGAP000001
11,JGAD000009,JGAP000001
13,JGAD000011,JGAP000001
14,JGAD000012,JGAP000001
15,JGAD000014,JGAP000001
16,JGAD000013,JGAP000001
17,JGAD000015,JGAP000001
18,JGAD000015,JGAP000001
19,JGAD000016,JGAP000001
20,JGAD000017,JGAP000001
23,JGAD000018,JGAP000001
26,JGAD000021,JGAP000001
27,JGAD000022,JGAP000001
28,JGAD000024,JGAP000001
29,JGAD000023,JGAP000004
30,JGAD000028,JGAP000001
31,JGAD000025,JGAP000001
32,JGAD000027,JGAP000001
37,JGAD000032,JGAP000001
40,JGAD000035,JGAP000001
41,JGAD000036,JGAP000001
43,JGAD000038,JGAP000001
44,JGAD000039,JGAP000005
45,JGAD000040,JGAP000001
46,JGAD000041,JGAP000001
47,JGAD000042,JGAP000003
48,JGAD000043,JGAP000003
49,JGAD000044,JGAP000003
50,JGAD000045,JGAP000003
51,JGAD000046,JGAP000001
52,JGAD000047,JGAP000001
56,JGAD000051,JGAP000001
58,JGAD000023,JGAP000004
59,JGAD000023,JGAP000004
60,JGAD000021,JGAP000001
61,JGAD000018,JGAP000001
62,JGAD000018,JGAP000001
63,JGAD000021,JGAP000001
64,JGAD000052,JGAP000001
65,JGAD000053,JGAP000001
67,JGAD000037,JGAP000001
71,JGAD000057,JGAP000001
74,JGAD000059,JGAP000001
75,JGAD000060,JGAP000001
76,JGAD000062,JGAP000004
78,JGAD000061,JGAP000001
81,JGAD000040,JGAP000001
82,JGAD000064,JGAP000001
83,JGAD000065,JGAP000001
88,JGAD000004,JGAP000004
89,JGAD000017,JGAP000004
90,JGAD000022,JGAP000004
91,JGAD000037,JGAP000004
92,JGAD000036,JGAP000004
93,JGAD000047,JGAP000004
94,JGAD000038,JGAP000001
95,JGAD000001,JGAP000002
96,JGAD000024,JGAP000003
97,JGAD000040,JGAP000003
98,JGAD000052,JGAP000004
101,JGAD000070,JGAP000001
104,JGAD000073,JGAP000001
106,JGAD000075,JGAP000004
107,JGAD000076,JGAP000004
108,JGAD000077,JGAP000001
110,JGAD000064,JGAP000001
111,JGAD000064,JGAP000001
113,JGAD000076,JGAP000004
114,JGAD000039,JGAP000005
115,JGAD000078,JGAP000001
117,JGAD000079,JGAP000001
118,JGAD000080,JGAP000001
119,JGAD000047,JGAP000004
120,JGAD000028,JGAP000001
122,JGAD000039,JGAP000005
124,JGAD000039,JGAP000005
140,JGAD000046,JGAP000001
141,JGAD000091,JGAP000004
144,JGAD000086,JGAP000001
145,JGAD000087,JGAP000004
146,JGAD000089,JGAP000004
147,JGAD000090,JGAP000001
151,JGAD000039,JGAP000005
152,JGAD000039,JGAP000005
153,JGAD000041,JGAP000001
154,JGAD000011,JGAP000001
155,JGAD000065,JGAP000001
156,JGAD000085,JGAP000001
157,JGAD000092,JGAP000001
159,JGAD000085,JGAP000001
160,JGAD000085,JGAP000001
161,JGAD000057,JGAP000001
162,JGAD000032,JGAP000001
163,JGAD000094,JGAP000001
164,JGAD000091,JGAP000004
165,JGAD000086,JGAP000004
166,JGAD000088,JGAP000004
167,JGAD000087,JGAP000004
168,JGAD000086,JGAP000004
169,JGAD000059,JGAP000001
171,JGAD000095,JGAP000001
172,JGAD000096,JGAP000001
173,JGAD000091,JGAP000004
175,JGAD000093,JGAP000001
176,JGAD000092,JGAP000001
177,JGAD000087,JGAP000004
178,JGAD000059,JGAP000001
180,JGAD000098,JGAP000009
182,JGAD000004,JGAP000004
183,JGAD000109,JGAP000004
184,JGAD000099,JGAP000001
185,JGAD000101,JGAP000001
185,JGAD000102,JGAP000001
186,JGAD000004,JGAP000004
188,JGAD000077,JGAP000001
190,JGAD000106,JGAP000004
190,JGAD000107,JGAP000004
190,JGAD000108,JGAP000004
191,JGAD000106,JGAP000004
191,JGAD000107,JGAP000004
191,JGAD000108,JGAP000004
192,JGAD000101,JGAP000001
192,JGAD000102,JGAP000001
193,JGAD000047,JGAP000004
194,JGAD000117,JGAP000001
194,JGAD000118,JGAP000001
195,JGAD000104,JGAP000001
195,JGAD000105,JGAP000001
196,JGAD000110,JGAP000003
196,JGAD000111,JGAP000003
197,JGAD000106,JGAP000004
197,JGAD000107,JGAP000004
197,JGAD000108,JGAP000004
198,JGAD000112,JGAP000004
198,JGAD000113,JGAP000004
198,JGAD000114,JGAP000004
199,JGAD000116,JGAP000001
200,JGAD000115,JGAP000001
201,JGAD000112,JGAP000004
201,JGAD000113,JGAP000004
201,JGAD000114,JGAP000004
202,JGAD000116,JGAP000008
204,JGAD000065,JGAP000001
206,JGAD000120,JGAP000001
208,JGAD000121,JGAP000001
209,JGAD000122,JGAP000001
210,JGAD000065,JGAP000001
211,JGAD000123,JGAP000001
211,JGAD000124,JGAP000001
212,JGAD000104,JGAP000001
212,JGAD000105,JGAP000001
213,JGAD000073,JGAP000001
216,JGAD000073,JGAP000001
218,JGAD000125,JGAP000004
221,JGAD000112,JGAP000004
221,JGAD000113,JGAP000004
221,JGAD000114,JGAP000004
222,JGAD000109,JGAP000004
226,JGAD000129,JGAP000001
227,JGAD000130,JGAP000001
227,JGAD000131,JGAP000001
228,JGAD000099,JGAP000001
229,JGAD000046,JGAP000001
230,JGAD000132,JGAP000001
235,JGAD000059,JGAP000001
236,JGAD000059,JGAP000001
237,JGAD000134,JGAP000001
238,JGAD000135,JGAP000001
239,JGAD000136,JGAP000001
240,JGAD000096,JGAP000001
241,JGAD000088,JGAP000004
242,JGAD000046,JGAP000001
243,JGAD000115,JGAP000001
244,JGAD000110,JGAP000003
244,JGAD000111,JGAP000003
245,JGAD000007,JGAP000001
246,JGAD000137,JGAP000001
247,JGAD000117,JGAP000001
247,JGAD000118,JGAP000001
248,JGAD000138,JGAP000001
249,JGAD000075,JGAP000004
250,JGAD000087,JGAP000004
251,JGAD000091,JGAP000004
252,JGAD000086,JGAP000004
253,JGAD000139,JGAP000001
254,JGAD000140,JGAP000001
255,JGAD000141,JGAP000001
256,JGAD000142,JGAP000001
257,JGAD000143,JGAP000001
258,JGAD000143,JGAP000003
259,JGAD000087,JGAP000004
260,JGAD000086,JGAP000004
263,JGAD000144,JGAP000001
263,JGAD000145,JGAP000001
263,JGAD000146,JGAP000001
263,JGAD000147,JGAP000001
263,JGAD000148,JGAP000001
263,JGAD000149,JGAP000001
263,JGAD000150,JGAP000001
263,JGAD000151,JGAP000001
263,JGAD000152,JGAP000001
263,JGAD000153,JGAP000001
263,JGAD000154,JGAP000001
263,JGAD000155,JGAP000001
263,JGAD000156,JGAP000001
263,JGAD000157,JGAP000001
263,JGAD000158,JGAP000001
263,JGAD000159,JGAP000001
263,JGAD000160,JGAP000001
263,JGAD000161,JGAP000001
263,JGAD000162,JGAP000001
